episode,timestep,reward
1,6,-1626.5157
3,12,-1636.5838
5,18,-1523.0551
7,24,-1650.2666
9,30,-1554.1632
11,36,-1706.7295
13,42,-1606.2727
15,48,-1597.6554
17,54,-1482.6907
19,60,-1523.0445
21,66,-1695.5623
23,72,-1435.3343
25,78,-1611.4414
27,84,-1506.0987
29,90,-1474.0269
31,96,-1551.383
33,102,-1618.3652
35,108,-1424.5812
37,114,-1565.0184
39,120,-1636.6118
41,126,-1465.5431
43,132,-1590.666
45,138,-1614.2096
47,144,-1519.5351
49,150,-1404.7301
51,156,-1533.8788
53,162,-1668.4501
55,168,-1521.7306
57,174,-1553.7298
59,180,-1476.1573
61,186,-1622.8603
63,192,-1594.9983
65,198,-1522.6042
67,204,-1529.4573
69,210,-1403.3165
71,216,-1621.1591
73,222,-1484.8278
75,228,-1520.8537
77,234,-1587.2593
79,240,-1592.781
81,246,-1457.2376
83,252,-1731.5629
85,258,-1608.1772
87,264,-1716.678
89,270,-1678.6956
91,276,-1569.0037
93,282,-1461.3238
95,288,-1577.4567
97,294,-1728.6355
99,300,-1517.5016
101,306,-1523.3029
103,312,-1549.6849
105,318,-1708.336
107,324,-1470.5578
109,330,-1536.6708
111,336,-1513.4512
113,342,-1628.415
115,348,-1674.4337
117,354,-1574.0646
119,360,-1587.3997
121,366,-1445.0507
123,372,-1639.4933
125,378,-1541.1205
127,384,-1562.835
129,390,-1657.3206
131,396,-1468.9035
133,402,-1594.3041
135,408,-1543.2218
137,414,-1560.0983
139,420,-1753.4046
141,426,-1672.4038
143,432,-1505.0989
145,438,-1551.3543
147,444,-1513.6192
149,450,-1642.7872
151,456,-1449.5372
153,462,-1622.5725
155,468,-1632.3513
157,474,-1779.5855
159,480,-1512.6787
161,486,-1756.0359
163,492,-1721.5189
165,498,-1601.4918
167,504,-1561.3841
169,510,-1512.8469
171,516,-1800.8337
173,522,-1580.3505
175,528,-1524.6053
177,534,-1568.4485
179,540,-1618.2804
181,546,-1465.6857
183,552,-1687.5348
185,558,-1575.4008
187,564,-1402.1181
189,570,-1523.763
191,576,-1589.1307
193,582,-1632.6013
195,588,-1694.8194
197,594,-1459.2405
199,600,-1560.807
201,606,-1692.3465
203,612,-1597.4846
205,618,-1583.003
207,624,-1709.1836
209,630,-1582.44
211,636,-1557.2182
213,642,-1621.3943
215,648,-1663.9013
217,654,-1414.7751
219,660,-1593.0817
221,666,-1461.1868
223,672,-1592.189
225,678,-1547.4973
227,684,-1518.346
229,690,-1446.5039
231,696,-1500.1165
233,702,-1649.5183
235,708,-1623.3289
237,714,-1498.9314
239,720,-1563.3664
241,726,-1591.8873
243,732,-1647.2162
245,738,-1522.8958
247,744,-1635.757
249,750,-1601.1955
251,756,-1390.2922
253,762,-1463.3038
255,768,-1596.7822
257,774,-1664.3386
